size_segment,sentiment_binary,mean_daily_pnl,mean_trade_size,mean_win_rate
Small size,Fear,1451.6297765801107,1833.4429814620348,0.8078239940786502
Small size,Greed,2099.258821282744,1459.9643155822712,0.8672511642528705
Small size,Neutral,464.60299217261905,1291.2345740319918,0.8025536650142246
Mid size,Fear,5701.2379275,8971.30241207473,0.915521369630211
Mid size,Greed,7128.290953981283,4826.042673701605,0.8208953458538766
Mid size,Neutral,5998.998294083333,5427.601937879003,0.8172651181883233
Large size,Fear,10451.850860441176,18362.753892351844,0.8460022634104938
Large size,Greed,3729.079228206897,14055.034216245707,0.8893302475782504
Large size,Neutral,5705.031577080357,16789.036367921493,0.9061391177137926
